DateTime,DailyPrecipitatiom,DailyAverageWindSpeed,DailySustainedWindSpeed,DailySustainedWindDirection,DailyPeakWindSpeed,DailyPeakWindDirection,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyAverageDryBulbTemperature,DailyAverageStationPressure,DailyWeather,Sunrise,Sunset
2020-05-31T23:59:00,0,10.1,24,10,33,10,74,59,67,30.05,,447,1919
2020-06-01T23:59:00,0,7,18,70,25,40,72,55,64,30.22,,447,1920
2020-06-02T23:59:00,0,9.5,17,220,24,220,82,60,71,30.09,,447,1920
2020-06-03T23:59:00,0,10.4,20,240,29,250,92,73,83,29.83,,446,1921
2020-06-04T23:59:00,0,8,16,200,25,200,93,76,85,29.87,,446,1921
2020-06-05T23:59:00,0,8.9,18,210,27,200,90,74,82,29.93,,446,1922
2020-06-06T23:59:00,0.44,6.7,36,340,45,340,89,69,79,29.85,TS RA BR,446,1922
2020-06-07T23:59:00,0.11,6.9,16,10,22,10,81,65,73,29.91,TS RA,446,1923
2020-06-08T23:59:00,0,4,12,60,16,270,85,61,73,30.02,,445,1924
2020-06-09T23:59:00,0,6.7,14,200,21,200,90,70,80,29.98,,445,1924
2020-06-10T23:59:00,0,10.8,20,190,32,200,91,74,83,29.99,,445,1924
2020-06-11T23:59:00,0.02,10.9,21,230,29,220,86,75,81,30.06,RA,445,1925
2020-06-12T23:59:00,0.46,6.9,15,360,21,10,81,65,73,30.11,TS RA BR,445,1925
2020-06-13T23:59:00,0,11.8,23,70,32,70,77,64,71,30.12,,445,1926
2020-06-14T23:59:00,NaN,12.2,20,70,40,80,74,66,70,30.25,RA,445,1926
2020-06-15T23:59:00,0.44,15.1,25,60,34,50,68,63,66,30.26,RA BR,445,1926
2020-06-16T23:59:00,1.09,18.6,28,60,40,70,66,63,65,30.19,RA BR,445,1927
2020-06-17T23:59:00,0,12.5,24,50,33,100,77,66,72,30.03,BR,445,1927
2020-06-18T23:59:00,0,5.3,15,110,19,110,83,66,75,30.08,,446,1927
2020-06-19T23:59:00,0,5,15,190,25,200,86,68,77,30.1,,446,1928
