DateTime,WindSpeed,WindDirection,WindGustSpeed,Precipitation,RelativeHumidity,DewPointTemperature,WetBulbTemperature,DryBulbTemperature
2020-05-31T00:59:00,0,0,NaN,0,90,63,64,66
2020-05-31T01:59:00,3,280,NaN,0,87,65,66,69
2020-05-31T02:59:00,11,360,NaN,0,82,64,66,70
2020-05-31T03:59:00,17,360,24,0,61,56,62,70
2020-05-31T04:59:00,21,10,29,0,57,54,61,70
2020-05-31T05:59:00,13,10,23,0,55,53,60,70
2020-05-31T06:59:00,13,360,23,0,47,49,58,70
2020-05-31T07:59:00,16,20,25,0,53,51,59,69
2020-05-31T08:59:00,17,10,28,0,57,55,62,71
2020-05-31T09:59:00,17,20,28,0,49,49,58,69
2020-05-31T10:59:00,17,10,25,0,49,50,59,70
2020-05-31T11:59:00,15,10,24,0,44,49,59,72
2020-05-31T12:59:00,16,30,22,0,43,48,59,72
2020-05-31T13:59:00,14,40,NaN,0,41,48,59,73
2020-05-31T14:59:00,16,50,NaN,0,41,47,58,72
2020-05-31T15:59:00,11,50,NaN,0,38,46,58,73
2020-05-31T16:59:00,9,20,NaN,0,44,49,59,72
2020-05-31T17:59:00,7,40,NaN,0,46,49,59,71
2020-05-31T18:59:00,3,80,NaN,0,57,52,59,68
2020-05-31T19:59:00,0,0,NaN,0,75,53,57,61
2020-05-31T20:59:00,0,0,NaN,0,75,53,57,61
2020-05-31T21:59:00,5,170,NaN,0,75,53,57,61
2020-05-31T22:59:00,0,0,NaN,0,75,52,56,60
2020-05-31T23:59:00,0,0,NaN,0,78,52,55,59
2020-06-01T00:59:00,0,0,NaN,0,83,52,54,57
2020-06-01T01:59:00,7,110,NaN,0,84,53,55,58
2020-06-01T02:59:00,0,0,NaN,0,87,52,54,56
2020-06-01T03:59:00,5,280,NaN,0,83,52,54,57
2020-06-01T04:59:00,8,340,NaN,0,70,52,57,62
2020-06-01T05:59:00,16,70,NaN,0,63,51,57,64
