Date_Time,Date,Time,Temp,SpCond,Sal,Raw Depth,Depth Corrected BIN,pH,Turbid+,Chl_flor,Chl Corrected,ODOsat,DO
6/1/2020 14:45,6/1/2020,2:45:21 PM,25.29,26183.88372,15.99,0.265,0.2,9.49,14.3,15.3,23.21811,NaN,NaN
6/3/2020 14:33,6/3/2020,2:33:37 PM,26.45,25555.4,15.55,0.084,0.2,8.15,20.7,NaN,NaN,NaN,NaN
6/5/2020 14:48,6/5/2020,2:48:33 PM,28.13,24.58,14.88,0.254,0.2,NaN,27.3,18.6,27.49722,105.3,7.57
6/8/2020 14:33,6/8/2020,2:33:32 PM,28.89,24.11125,14.55,0.284,0.2,NaN,14.7,11.3,18.03131,125.6,8.93
6/10/2020 13:34,6/10/2020,1:34:25 PM,27.96,24.913077,15.1,0.269,0.2,NaN,17.8,10,16.3456,95.2,6.86
6/12/2020 13:21,6/12/2020,1:21:31 PM,26.39,25042.66667,15.21,-0.355,0.2,NaN,21.9,14.4,22.05108,78,5.77
6/15/2020 13:10,6/15/2020,1:10:28 PM,23.45,25829.41667,15.78,0.161,0.2,NaN,17.5,16.1,24.25547,83,6.45
6/17/2020 13:09,6/17/2020,1:09:29 PM,21.98,22549.5,13.62,0.066,0.2,NaN,10.4,30.1,42.40927,89.8,7.27
6/19/2020 13:44,6/19/2020,1:44:15 PM,26.36,23986.62963,14.51,-0.676,0.2,NaN,13.6,46.2,63.28614,174.8,12.98
6/22/2020 14:01,6/22/2020,2:01:28 PM,28.54,25.296667,15.34,0.226,0.2,NaN,11.1,27,38.3895,149.5,10.65
6/24/2020 13:16,6/24/2020,1:16:03 PM,28.52,25.580952,15.53,0.206,0.2,NaN,16.6,24.7,35.40709,128.4,9.14
6/26/2020 14:12,6/26/2020,2:12:49 PM,28.09,25.12625,15.24,0.271,0.2,NaN,17.2,9.4,15.56758,86.8,6.23
6/29/2020 14:50,6/29/2020,2:50:32 PM,30.24,26.226667,15.93,0.265,0.2,7.7,14.8,17.5,26.07085,111.4,7.69
7/1/2020 14:20,7/1/2020,2:20:28 PM,31.02,25963.47059,15.74,0.233,0.2,7.81,11,20.9,30.47963,125.4,8.55
7/3/2020 13:40,7/3/2020,1:40:19 PM,30.95,25848.33333,15.66,0.258,0.2,7.6,18.1,16.4,24.64448,105.7,7.22
7/6/2020 14:23,7/6/2020,2:23:39 PM,31.26,26.62,16.17,0.353,0.2,7.84,12.1,12.6,19.71702,125.3,8.49
7/8/2020 14:57,7/8/2020,2:57:30 PM,30.45,27.4724,16.76,0.325,0.2,7.79,13.2,16.3,24.51481,108.6,7.43
7/10/2020 13:59,7/10/2020,1:59:50 PM,30.15,28.644,17.55,0.241,0.2,6.74,13.8,19.1,28.14557,110.4,7.56
7/13/2020 14:49,7/13/2020,2:49:58 PM,NaN,NaN,NaN,NaN,0.2,NaN,NaN,NaN,NaN,NaN,NaN
7/15/2020 14:31,7/15/2020,2:31:16 PM,32.51,29.68,18.2,0.295,0.2,7.84,13.5,18,26.7192,120.9,7.93
7/17/2020 14:54,7/17/2020,2:54:24 PM,32.29,29.707857,18.22,0.257,0.2,8.07,13.4,20.5,29.96095,150.5,9.92
7/20/2020 14:12,7/20/2020,2:12:42 PM,32.66,29170.61539,17.85,0.24,0.2,7.97,12.4,20.2,29.57194,139.8,9.17
7/22/2020 14:18,7/22/2020,2:18:44 PM,32.78,30.44,18.71,0.265,0.2,7.9,18.7,20.8,30.34996,124.8,8.14
7/24/2020 14:24,7/24/2020,2:24:36 PM,30.51,30.965714,19.12,0.285,0.2,8.06,18.4,62.7,84.68169,143.7,9.7
7/26/2020 14:54,7/26/2020,2:54:03 PM,32.7,31.625,19.51,0.33,0.2,7.93,20.6,12.7,19.84669,130.6,8.48
7/28/2020 14:27,7/28/2020,2:27:15 PM,32.79,33.27,20.64,0.272,0.2,8.02,20.6,20.5,29.96095,136.7,8.81
7/30/2020 14:46,7/30/2020,2:46:52 PM,32.15,33.15,20.57,0.215,0.2,7.93,17.2,21.2,30.86864,135.1,8.81
8/1/2020 15:05,8/1/2020,3:05:12 PM,31.77,32.842222,20.37,0.273,0.2,7.62,43.5,15.1,22.95877,98.8,6.49
8/4/2020 14:08,8/4/2020,2:08:55 PM,29.24,29.464545,18.13,0.229,0.2,7.72,40.8,22.3,32.29501,110.1,7.63
8/8/2020 14:44,8/8/2020,2:44:25 PM,29.97,29.491053,18.13,0.3,0.2,7.98,15.6,26.8,38.13016,127.6,8.73
8/10/2020 14:18,8/10/2020,2:18:18 PM,32.87,29.982143,18.39,0.255,0.2,6.91,14.1,13.8,21.27306,179.2,11.68
8/12/2020 14:02,8/12/2020,2:02:19 PM,30.38,23.794,14.32,0.286,0.2,6.79,28,21.7,31.51699,87.8,6.1
8/14/2020 14:26,8/14/2020,2:26:50 PM,30.07,26.042632,15.81,0.23,0.2,8.11,16.9,56.9,77.16083,130,9
8/16/2020 13:51,8/16/2020,1:51:23 PM,28.22,23.873333,14.41,0.217,0.2,7.63,6.8,28,39.6862,102.2,7.36
8/18/2020 14:27,8/18/2020,2:27:09 PM,30.67,23.012,13.79,0.252,0.2,8.12,12.5,26.9,38.25983,162.8,11.28
8/20/2020 14:20,8/20/2020,2:20:14 PM,29.08,27143.5,16.57,0.367,0.2,8.14,21.6,29,40.9829,142.4,9.99
8/22/2020 14:43,8/22/2020,2:43:27 PM,28.18,27976,17.14,0.27,0.2,7.63,18.4,21.5,31.25765,91.1,6.46
8/24/2020 14:37,8/24/2020,2:37:11 PM,28.11,27959.66667,17.13,0.325,0.2,7.7,27.9,12.5,19.58735,97.2,6.9
8/26/2020 14:36,8/26/2020,2:36:17 PM,29.93,28.02,17.14,0.27,0.2,8,29.5,44.9,61.60043,153,10.54
8/28/2020 14:41,8/28/2020,2:41:46 PM,31.36,25.966667,15.74,0.251,0.2,8.67,19,55.5,75.34545,196.2,13.3
8/31/2020 13:23,8/31/2020,1:23:28 PM,28.25,27.346136,16.72,0.263,0.2,8.19,30.3,63.9,86.23773,145.1,10.31
9/2/2020 14:08,9/2/2020,2:08:38 PM,30.18,28.107778,17.19,0.238,0.2,7.39,17.4,26.5,37.74115,163,11.18
9/4/2020 14:22,9/4/2020,2:22:11 PM,30.41,29.858,18.37,0.251,0.2,7.28,23.3,75.3,101.02011,172.3,11.7
9/7/2020 14:17,9/7/2020,2:17:08 PM,28.26,30.725714,19.01,0.299,0.2,8.43,18.5,70.5,94.79595,177.6,12.45
9/9/2020 14:23,9/9/2020,2:23:01 PM,27.86,30.915,19.14,0.327,0.2,8.22,17.1,107.9,143.29253,155.9,11
9/14/2020 14:10,9/14/2020,2:10:25 PM,26.7,29.76,18.38,0.268,0.2,8.17,27.1,68.9,92.72123,149,10.76
9/16/2020 14:15,9/16/2020,2:15:55 PM,23.72,29.304,18.12,0.356,0.2,8.02,18.4,48.4,66.13888,135.7,10.35
9/21/2020 14:15,9/21/2020,2:15:55 PM,NaN,NaN,NaN,NaN,0.2,NaN,NaN,NaN,NaN,NaN,NaN
