Date_Time,Date,Time,Temp,SpCond,Sal,Raw Depth,Depth Corrected BIN,pH,Turbid+,Fluorescent Chl,Chl Corr,ODOsat,ODO
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.41,26.546753,16.27,0.106,0,NaN,5.4,21,32.8433,92.2,7.28
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.41,26.55,16.27,0.389,0.25,NaN,5.4,21.3,33.2306,90.6,7.15
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.4,26.552195,16.28,0.642,0.5,NaN,5.6,21.2,33.1015,89.8,7.1
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.39,26.557949,16.28,0.877,0.75,NaN,6.2,21.2,33.1015,89.4,7.06
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.38,26.562121,16.28,1.125,1,NaN,6.5,20.7,32.456,89.3,7.05
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.36,26.573478,16.29,1.383,1.25,NaN,6.7,20.7,32.456,89.9,7.1
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.34,26.589091,16.3,1.634,1.5,NaN,7,20.6,32.3269,90.2,7.13
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.32,26.602381,16.31,1.888,1.75,NaN,7.2,20.8,32.5851,90.1,7.13
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.3,26.614783,16.32,2.152,2,NaN,7.3,20.8,32.5851,89.6,7.09
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.27,26.645862,16.34,2.389,2.25,NaN,8.2,21.5,33.4888,89.1,7.05
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.27,26.65,16.34,2.634,2.5,NaN,8.5,21.4,33.3597,88.7,7.02
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.26,26.653548,16.35,2.879,2.75,NaN,8.5,21.3,33.2306,88.6,7.01
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.24,26.665769,16.35,3.123,3,NaN,8.1,21.3,33.2306,87.9,6.96
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.23,26.67,16.36,3.393,3.25,NaN,8.4,21.3,33.2306,87.5,6.93
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.23,26.67,16.36,3.64,3.5,NaN,8.5,21.7,33.747,87.4,6.93
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.22,26.674348,16.36,3.88,3.75,NaN,9.1,21.4,33.3597,87.8,6.95
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.2,26.687667,16.37,4.143,4,NaN,9.9,21.1,32.9724,87.6,6.94
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.19,26.69,16.37,4.387,4.25,NaN,10.8,21.1,32.9724,87.4,6.92
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.19,26.696923,16.38,4.637,4.5,NaN,11,21.1,32.9724,87.4,6.92
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.19,26.7,16.38,4.901,4.75,NaN,10.4,21,32.8433,86.9,6.89
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.18,26.7,16.38,5.151,5,NaN,10.6,20.9,32.7142,85.8,6.8
6/1/2020 13:40,6/1/2020,1:40:29 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/1/2020 13:40,6/1/2020,1:40:29 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/1/2020 13:40,6/1/2020,1:40:29 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/1/2020 13:40,6/1/2020,1:40:29 PM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/3/2020 13:25,6/3/2020,1:25:25 PM,23.29,26313.75676,16.14,-0.092,0,9.04,9.6,14.2,24.0645,NaN,NaN
6/3/2020 13:25,6/3/2020,1:25:25 PM,23.29,27014.61111,16.58,0.189,0.25,9.01,9.8,10.1,18.7714,NaN,NaN
6/3/2020 13:25,6/3/2020,1:25:25 PM,23.29,27020.71429,16.58,0.464,0.5,9,9.8,9.3,17.7386,NaN,NaN
6/3/2020 13:25,6/3/2020,1:25:25 PM,23.3,27025.64286,16.58,0.72,0.75,8.99,9.8,8.8,17.0931,NaN,NaN
6/3/2020 13:25,6/3/2020,1:25:25 PM,23.31,27035,16.59,0.957,1,8.98,10.6,8.5,16.7058,NaN,NaN
