Date_Time_NY,Temp_NY,Sal_NY,Chl_flor_NY,DO_NY,Depth_meter_NY,Temp_AC,Sal_AC,Chl_flor_AC,Depth_meter_AC,Temp_NY_btm,Sal_NY_btm,Chl_flor_NY_btm,DO_NY_btm,Depth_meter_NY_btm
2020-06-01 00:01:00,22.86,16.14,8.163260000000001,5.13,0.4,24.54,14.97,12.4831,0.131,22.86,,,,
2020-06-01 00:16:00,22.62,16.05,8.61798,5.3,0.44,24.47,14.96,15.55246,0.135,22.62,,,,
2020-06-01 00:31:00,22.41,15.95,8.27694,5.28,0.48,24.42,15.05,14.188300000000002,0.15,22.41,,,,
2020-06-01 00:46:00,22.77,16.21,11.801020000000001,5.01,0.52,24.33,15.12,13.0515,0.172,22.77,,,,
2020-06-01 01:01:00,23.16,16.37,11.687339999999999,5.56,0.57,24.18,15.12,12.710460000000001,0.194,23.16,,,,
2020-06-01 01:16:00,23.04,16.3,12.93782,5.37,0.63,24.13,15.23,12.4831,0.227,23.04,,,,
2020-06-01 01:31:00,22.77,16.2,10.43686,5.6,0.68,24.1,15.34,15.438780000000001,0.262,22.77,,,,
2020-06-01 01:46:00,22.35,16.0,11.23262,5.63,0.74,24.09,15.46,10.891580000000001,0.302,22.35,,,,
2020-06-01 02:01:00,22.04,15.92,11.687339999999999,5.85,0.79,23.91,15.51,11.23262,0.343,22.04,,,,
2020-06-01 02:16:00,21.7,15.95,11.3463,6.21,0.84,23.7,15.6,11.801020000000001,0.392,21.7,,,,
2020-06-01 02:31:00,21.26,15.76,11.23262,6.89,0.9,23.74,15.73,9.52742,0.442,21.26,,,,
2020-06-01 02:46:00,21.04,15.42,13.619900000000001,7.22,0.95,23.74,15.8,11.801020000000001,0.492,21.04,,,,
2020-06-01 03:01:00,21.06,15.4,12.93782,7.33,1.0,23.87,15.87,11.45998,0.551,21.06,,,,
2020-06-01 03:16:00,21.07,15.37,11.9147,7.24,1.04,23.83,15.99,11.11894,0.605,21.07,,,,
2020-06-01 03:31:00,21.08,15.32,12.14206,7.28,1.07,23.71,15.89,13.278860000000002,0.662,21.08,,,,
2020-06-01 03:46:00,21.08,15.36,11.00526,6.86,1.11,23.78,15.91,11.00526,0.717,21.08,,,,
2020-06-01 04:01:00,21.09,15.42,7.82222,5.73,1.12,23.88,15.95,11.45998,0.771,21.09,,,,
2020-06-01 04:16:00,21.09,15.45,8.73166,4.36,1.14,23.65,15.75,12.4831,0.826,21.09,,,,
2020-06-01 04:31:00,21.08,15.48,9.30006,4.28,1.15,23.7,15.86,12.93782,0.875,21.08,,,,
2020-06-01 04:46:00,21.1,15.5,8.95902,4.46,1.16,23.74,15.94,13.73358,0.912,21.1,,,,
2020-06-01 05:01:00,21.12,15.57,9.75478,6.26,1.16,23.72,15.97,17.485020000000002,0.944,21.12,,,,
2020-06-01 05:16:00,21.09,15.57,8.5043,6.17,1.16,23.72,16.06,14.529340000000001,0.966,21.09,,,,
2020-06-01 05:31:00,21.2,15.6,10.2095,5.2,1.16,23.72,16.11,17.82606,0.984,21.2,,,,
2020-06-01 05:46:00,21.43,15.74,8.73166,5.76,1.16,23.73,16.18,16.12086,1.0,21.43,,,,
2020-06-01 06:01:00,21.55,15.8,9.18638,5.61,1.17,23.71,16.18,16.80294,1.001,21.55,,,,
2020-06-01 06:16:00,21.42,15.82,9.072700000000001,5.72,1.17,23.72,16.12,15.55246,1.0,21.42,,,,
