Date_NY_2020_0day,Date_NY_2020_1day,Date_NY_2020_2day,WL_btm_0day,WL_btm_1day,WL_btm_2day
06/01/2020 00:01,05/31/2020 00:01,05/30/2020 00:01,4.9,5.1,5.29
06/01/2020 00:16,05/31/2020 00:16,05/30/2020 00:16,4.94,5.15,5.35
06/01/2020 00:31,05/31/2020 00:31,05/30/2020 00:31,4.98,5.2,5.39
06/01/2020 00:46,05/31/2020 00:46,05/30/2020 00:46,5.02,5.25,5.42
06/01/2020 01:01,05/31/2020 01:01,05/30/2020 01:01,5.07,5.3,5.46
06/01/2020 01:16,05/31/2020 01:16,05/30/2020 01:16,5.13,5.36,5.51
06/01/2020 01:31,05/31/2020 01:31,05/30/2020 01:31,5.18,5.41,5.53
06/01/2020 01:46,05/31/2020 01:46,05/30/2020 01:46,5.24,5.46,5.54
06/01/2020 02:01,05/31/2020 02:01,05/30/2020 02:01,5.29,5.5,5.55
06/01/2020 02:16,05/31/2020 02:16,05/30/2020 02:16,5.34,5.54,5.57
06/01/2020 02:31,05/31/2020 02:31,05/30/2020 02:31,5.4,5.57,5.56
06/01/2020 02:46,05/31/2020 02:46,05/30/2020 02:46,5.45,5.61,5.55
06/01/2020 03:01,05/31/2020 03:01,05/30/2020 03:01,5.5,5.63,5.55
06/01/2020 03:16,05/31/2020 03:16,05/30/2020 03:16,5.54,5.65,5.53
06/01/2020 03:31,05/31/2020 03:31,05/30/2020 03:31,5.57,5.66,5.52
06/01/2020 03:46,05/31/2020 03:46,05/30/2020 03:46,5.61,5.68,5.5
06/01/2020 04:01,05/31/2020 04:01,05/30/2020 04:01,5.62,5.69,5.47
06/01/2020 04:16,05/31/2020 04:16,05/30/2020 04:16,5.64,5.7,5.44
06/01/2020 04:31,05/31/2020 04:31,05/30/2020 04:31,5.65,5.69,5.41
06/01/2020 04:46,05/31/2020 04:46,05/30/2020 04:46,5.66,5.69,5.38
06/01/2020 05:01,05/31/2020 05:01,05/30/2020 05:01,5.66,5.68,5.33
06/01/2020 05:16,05/31/2020 05:16,05/30/2020 05:16,5.66,5.67,5.3
06/01/2020 05:31,05/31/2020 05:31,05/30/2020 05:31,5.66,5.67,5.25
06/01/2020 05:46,05/31/2020 05:46,05/30/2020 05:46,5.66,5.64,5.21
06/01/2020 06:01,05/31/2020 06:01,05/30/2020 06:01,5.67,5.61,5.15
06/01/2020 06:16,05/31/2020 06:16,05/30/2020 06:16,5.67,5.56,5.1
06/01/2020 06:31,05/31/2020 06:31,05/30/2020 06:31,5.64,5.51,5.05
06/01/2020 06:46,05/31/2020 06:46,05/30/2020 06:46,5.62,5.45,5.01
06/01/2020 07:01,05/31/2020 07:01,05/30/2020 07:01,5.58,5.4,4.96
06/01/2020 07:16,05/31/2020 07:16,05/30/2020 07:16,5.56,5.35,4.92
06/01/2020 07:31,05/31/2020 07:31,05/30/2020 07:31,5.53,5.3,4.89
06/01/2020 07:46,05/31/2020 07:46,05/30/2020 07:46,5.49,5.26,4.86
06/01/2020 08:01,05/31/2020 08:01,05/30/2020 08:01,5.45,5.23,4.83
06/01/2020 08:16,05/31/2020 08:16,05/30/2020 08:16,5.4,5.19,4.81
06/01/2020 08:31,05/31/2020 08:31,05/30/2020 08:31,5.36,5.16,4.79
06/01/2020 08:46,05/31/2020 08:46,05/30/2020 08:46,5.32,5.13,4.78
06/01/2020 09:01,05/31/2020 09:01,05/30/2020 09:01,5.27,5.1,4.78
06/01/2020 09:16,05/31/2020 09:16,05/30/2020 09:16,5.22,5.09,4.79
06/01/2020 09:31,05/31/2020 09:31,05/30/2020 09:31,5.18,5.07,4.8
06/01/2020 09:46,05/31/2020 09:46,05/30/2020 09:46,5.14,5.05,4.82
06/01/2020 10:01,05/31/2020 10:01,05/30/2020 10:01,5.1,5.06,4.85
06/01/2020 10:16,05/31/2020 10:16,05/30/2020 10:16,5.07,5.06,4.88
06/01/2020 10:31,05/31/2020 10:31,05/30/2020 10:31,5.05,5.06,4.91
06/01/2020 10:46,05/31/2020 10:46,05/30/2020 10:46,5.03,5.07,4.94
06/01/2020 11:01,05/31/2020 11:01,05/30/2020 11:01,5.01,5.08,4.97
06/01/2020 11:16,05/31/2020 11:16,05/30/2020 11:16,5.01,5.11,5.01
06/01/2020 11:31,05/31/2020 11:31,05/30/2020 11:31,5.02,5.13,5.06
06/01/2020 11:46,05/31/2020 11:46,05/30/2020 11:46,5.04,5.15,5.1
06/01/2020 12:01,05/31/2020 12:01,05/30/2020 12:01,5.05,5.17,5.15
06/01/2020 12:16,05/31/2020 12:16,05/30/2020 12:16,5.07,5.2,5.2
06/01/2020 12:31,05/31/2020 12:31,05/30/2020 12:31,5.1,5.22,5.24
06/01/2020 12:46,05/31/2020 12:46,05/30/2020 12:46,5.13,5.25,5.29
06/01/2020 13:01,05/31/2020 13:01,05/30/2020 13:01,5.16,5.29,5.34
06/01/2020 13:16,05/31/2020 13:16,05/30/2020 13:16,5.21,5.33,5.39
06/01/2020 13:31,05/31/2020 13:31,05/30/2020 13:31,5.25,5.39,5.43
06/01/2020 13:46,05/31/2020 13:46,05/30/2020 13:46,5.3,5.44,5.46
06/01/2020 14:01,05/31/2020 14:01,05/30/2020 14:01,5.36,5.49,5.5
06/01/2020 14:16,05/31/2020 14:16,05/30/2020 14:16,5.39,5.54,5.53
06/01/2020 14:31,05/31/2020 14:31,05/30/2020 14:31,5.44,5.58,5.55
06/01/2020 14:46,05/31/2020 14:46,05/30/2020 14:46,5.48,5.62,5.56
06/01/2020 15:01,05/31/2020 15:01,05/30/2020 15:01,5.53,5.66,5.57
06/01/2020 15:16,05/31/2020 15:16,05/30/2020 15:16,5.58,5.69,5.59
06/01/2020 15:31,05/31/2020 15:31,05/30/2020 15:31,5.63,5.71,5.58
06/01/2020 15:46,05/31/2020 15:46,05/30/2020 15:46,5.68,5.72,5.55
06/01/2020 16:01,05/31/2020 16:01,05/30/2020 16:01,5.74,5.73,5.54
06/01/2020 16:16,05/31/2020 16:16,05/30/2020 16:16,5.79,5.74,5.52
06/01/2020 16:31,05/31/2020 16:31,05/30/2020 16:31,5.84,5.72,5.51
06/01/2020 16:46,05/31/2020 16:46,05/30/2020 16:46,5.89,5.71,5.47
06/01/2020 17:01,05/31/2020 17:01,05/30/2020 17:01,5.93,5.7,5.45
06/01/2020 17:16,05/31/2020 17:16,05/30/2020 17:16,5.96,5.67,5.4
06/01/2020 17:31,05/31/2020 17:31,05/30/2020 17:31,6,5.65,5.37
06/01/2020 17:46,05/31/2020 17:46,05/30/2020 17:46,6.02,5.63,5.32
06/01/2020 18:01,05/31/2020 18:01,05/30/2020 18:01,6.04,5.6,5.28
06/01/2020 18:16,05/31/2020 18:16,05/30/2020 18:16,6.05,5.56,5.23
06/01/2020 18:31,05/31/2020 18:31,05/30/2020 18:31,6.05,5.52,5.19
06/01/2020 18:46,05/31/2020 18:46,05/30/2020 18:46,6.04,5.47,5.15
06/01/2020 19:01,05/31/2020 19:01,05/30/2020 19:01,6.03,5.43,5.1
06/01/2020 19:16,05/31/2020 19:16,05/30/2020 19:16,6.01,5.37,5.05
06/01/2020 19:31,05/31/2020 19:31,05/30/2020 19:31,5.99,5.32,5
06/01/2020 19:46,05/31/2020 19:46,05/30/2020 19:46,5.96,5.27,4.95
06/01/2020 20:01,05/31/2020 20:01,05/30/2020 20:01,5.93,5.21,4.91
06/01/2020 20:16,05/31/2020 20:16,05/30/2020 20:16,5.89,5.15,4.88
06/01/2020 20:31,05/31/2020 20:31,05/30/2020 20:31,5.86,5.1,4.85
06/01/2020 20:46,05/31/2020 20:46,05/30/2020 20:46,5.81,5.05,4.83
06/01/2020 21:01,05/31/2020 21:01,05/30/2020 21:01,5.76,5,4.82
06/01/2020 21:16,05/31/2020 21:16,05/30/2020 21:16,5.7,4.95,4.81
06/01/2020 21:31,05/31/2020 21:31,05/30/2020 21:31,5.64,4.91,4.81
06/01/2020 21:46,05/31/2020 21:46,05/30/2020 21:46,5.58,4.88,4.82
06/01/2020 22:01,05/31/2020 22:01,05/30/2020 22:01,5.52,4.86,4.83
06/01/2020 22:16,05/31/2020 22:16,05/30/2020 22:16,5.46,4.82,4.85
06/01/2020 22:31,05/31/2020 22:31,05/30/2020 22:31,5.4,4.81,4.88
06/01/2020 22:46,05/31/2020 22:46,05/30/2020 22:46,5.35,4.8,4.9
06/01/2020 23:01,05/31/2020 23:01,05/30/2020 23:01,5.3,4.81,4.93
06/01/2020 23:16,05/31/2020 23:16,05/30/2020 23:16,5.24,4.82,4.96
06/01/2020 23:31,05/31/2020 23:31,05/30/2020 23:31,5.2,4.84,5.01
06/01/2020 23:46,05/31/2020 23:46,05/30/2020 23:46,5.16,4.87,5.05
06/03/2020 00:01,06/02/2020 00:01,06/01/2020 00:01,4.94,5.13,4.9
06/03/2020 00:16,06/02/2020 00:16,06/01/2020 00:16,4.88,5.1,4.94
06/03/2020 00:31,06/02/2020 00:31,06/01/2020 00:31,4.84,5.07,4.98
06/03/2020 00:46,06/02/2020 00:46,06/01/2020 00:46,4.79,5.06,5.02
06/03/2020 01:01,06/02/2020 01:01,06/01/2020 01:01,4.76,5.04,5.07
06/03/2020 01:16,06/02/2020 01:16,06/01/2020 01:16,4.72,5.04,5.13
06/03/2020 01:31,06/02/2020 01:31,06/01/2020 01:31,4.69,5.05,5.18
06/03/2020 01:46,06/02/2020 01:46,06/01/2020 01:46,4.67,5.06,5.24
06/03/2020 02:01,06/02/2020 02:01,06/01/2020 02:01,4.65,5.08,5.29
06/03/2020 02:16,06/02/2020 02:16,06/01/2020 02:16,4.64,5.11,5.34
06/03/2020 02:31,06/02/2020 02:31,06/01/2020 02:31,4.64,5.13,5.4
06/03/2020 02:46,06/02/2020 02:46,06/01/2020 02:46,4.66,5.16,5.45
06/03/2020 03:01,06/02/2020 03:01,06/01/2020 03:01,4.67,5.19,5.5
06/03/2020 03:16,06/02/2020 03:16,06/01/2020 03:16,4.71,5.23,5.54
06/03/2020 03:31,06/02/2020 03:31,06/01/2020 03:31,4.74,5.27,5.57
06/03/2020 03:46,06/02/2020 03:46,06/01/2020 03:46,4.79,5.32,5.61
06/03/2020 04:01,06/02/2020 04:01,06/01/2020 04:01,4.83,5.36,5.62
06/03/2020 04:16,06/02/2020 04:16,06/01/2020 04:16,4.88,5.41,5.64
06/03/2020 04:31,06/02/2020 04:31,06/01/2020 04:31,4.94,5.46,5.65
06/03/2020 04:46,06/02/2020 04:46,06/01/2020 04:46,5,5.52,5.66
06/03/2020 05:01,06/02/2020 05:01,06/01/2020 05:01,5.05,5.56,5.66
06/03/2020 05:16,06/02/2020 05:16,06/01/2020 05:16,5.12,5.61,5.66
06/03/2020 05:31,06/02/2020 05:31,06/01/2020 05:31,5.18,5.64,5.66
06/03/2020 05:46,06/02/2020 05:46,06/01/2020 05:46,5.24,5.69,5.66
06/03/2020 06:01,06/02/2020 06:01,06/01/2020 06:01,5.3,5.72,5.67
