Datetime_0day,Datetime_1day,Datetime_2day,WS_extract_0day,WD_extract_0day,WS_extract_1day,WD_extract_1day,WS_extract_2day,WD_extract_2day
2020-06-01T00:59:00,2020-05-31T00:59:00,2020-05-30T00:59:00,0,0,0,0,8,220
2020-06-01T01:59:00,2020-05-31T01:59:00,2020-05-30T01:59:00,7,110,3,280,7,230
2020-06-01T02:59:00,2020-05-31T02:59:00,2020-05-30T02:59:00,0,0,11,360,9,240
2020-06-01T03:59:00,2020-05-31T03:59:00,2020-05-30T03:59:00,5,280,17,360,7,230
2020-06-01T04:59:00,2020-05-31T04:59:00,2020-05-30T04:59:00,8,340,21,10,7,230
2020-06-01T05:59:00,2020-05-31T05:59:00,2020-05-30T05:59:00,16,70,13,10,7,230
2020-06-01T06:59:00,2020-05-31T06:59:00,2020-05-30T06:59:00,16,60,13,360,7,230
2020-06-01T07:59:00,2020-05-31T07:59:00,2020-05-30T07:59:00,15,30,16,20,7,270
2020-06-01T08:59:00,2020-05-31T08:59:00,2020-05-30T08:59:00,14,60,17,10,9,270
2020-06-01T09:59:00,2020-05-31T09:59:00,2020-05-30T09:59:00,11,70,17,20,8,310
2020-06-01T10:59:00,2020-05-31T10:59:00,2020-05-30T10:59:00,11,60,17,10,7,10
2020-06-01T11:59:00,2020-05-31T11:59:00,2020-05-30T11:59:00,6,60,15,10,8,50
2020-06-01T12:59:00,2020-05-31T12:59:00,2020-05-30T12:59:00,5,60,16,30,10,50
2020-06-01T13:59:00,2020-05-31T13:59:00,2020-05-30T13:59:00,0,0,14,40,10,50
2020-06-01T14:59:00,2020-05-31T14:59:00,2020-05-30T14:59:00,3,0,16,50,10,20
2020-06-01T15:59:00,2020-05-31T15:59:00,2020-05-30T15:59:00,3,40,11,50,5,80
2020-06-01T16:59:00,2020-05-31T16:59:00,2020-05-30T16:59:00,7,90,9,20,6,100
2020-06-01T17:59:00,2020-05-31T17:59:00,2020-05-30T17:59:00,7,90,7,40,3,140
2020-06-01T18:59:00,2020-05-31T18:59:00,2020-05-30T18:59:00,9,160,3,80,0,0
2020-06-01T19:59:00,2020-05-31T19:59:00,2020-05-30T19:59:00,6,150,0,0,0,0
2020-06-01T20:59:00,2020-05-31T20:59:00,2020-05-30T20:59:00,5,160,0,0,0,0
2020-06-01T21:59:00,2020-05-31T21:59:00,2020-05-30T21:59:00,7,180,5,170,0,0
2020-06-01T22:59:00,2020-05-31T22:59:00,2020-05-30T22:59:00,8,200,0,0,0,0
