Date_AC,D1_TDN_AC,D2_TDN_AC,D1_depth_AC,D1_Temp_AC,D1_Sal_AC,D1_Turb_AC,D1_DO_AC,D2_Depth_AC,D2_Temp_AC,D2_Sal_AC,D2_Turb_AC,D2_DO_AC,D1_Chl_AC,D2_Chl_AC,D1_PO4_AC,D2_PO4_AC,D1_urea_AC,D2_urea_AC,D1_NH4_AC,D2_NH4_AC,D1_N+N_AC,D2_N+N_AC ,Date_NYCC,Date_Time_NYCC,D1_depth_NY,D1_Temp_NY,D1_Sal_NY,D1_Turb_NY,D1_DO_NY,D2_Depth_NY,D2_Temp_NY,D2_Sal_NY,D2_Turb_NY,D2_DO_NY,D3_Depth_NY,D3_Temp_NY,D3_Sal_NY,D3_Turb_NY,D3_DO_NY,D1_TDN_NY,D2_TDN_NY,D3_TDN_NY,D2_urea_NY,D3_urea_NY,D1_Chl_NY,D2_Chl_NY,D3_Chl_NY,D1_PO4_NY,D2_PO4_NY,D3_PO4_NY, D1_N+N_NY,D2_N+N_NY,D3_N+N_NY,D1_NH4_NY,D2_NH4_NY,D3_NH4_NY,max_Turb
6/1/2020,19.68,19.79,0.5,24.62,15.95,15.8,NaN,1.5,24.14,15.97,23.8,NaN,27.8,35.13,0.52,0.34,0.08,0.08,4.9,5.34,0.34,0.33,6/1/2020,6/1/2020 13:40,0.25,22.41,16.27,5.4,7.15,3,22.24,16.35,8.1,6.96,5,22.19,16.38,11,6.92,22.88,NaN,NaN,0.08,0.08,10.01,7.17,5.94,0.37,0.35,0.17,3.91,4.18,2.5,NaN,5.86,6.05,11
6/3/2020,24.72,23.65,0.25,26.45,15.55,20.7,NaN,0.75,26.39,15.55,22.2,NaN,14.78,15.11,0.43,0.47,NaN,0.08,5.33,5.51,0.14,0.29,6/3/2020,6/3/2020 13:25,0.25,23.29,16.58,9.8,NaN,1,23.31,16.59,10.6,NaN,3,23.26,16.6,10.8,NaN,23.27,24.36,21.81,NaN,NaN,16.33,16.53,15.42,0.33,0.36,0.36,0.31,0.52,0.38,5.55,5.27,5.54,12.3
6/5/2020,26.42,24.18,0.25,28.13,14.88,27.3,7.57,1,28.07,14.91,27.7,7.48,35.47,39.07,0.56,0.56,0.08,0.08,5.22,5.27,2.76,0.37,6/5/2020,6/5/2020 13:47,0.25,25.32,15.92,15.5,7.01,3,25.28,15.93,16.4,6.97,5,25.18,15.96,18.9,6.94,23.27,20.03,19.56,NaN,0.08,14.68,13.39,10.77,0.81,0.33,0.3,1.06,1.06,1.08,5.26,5.05,4.77,18.9
6/8/2020,31.26,34.86,0.5,28.65,14.59,15.3,8.84,1.5,27.87,14.74,19.2,8.13,23.33,21.33,0.61,0.63,0.43,0.08,5.99,5.81,1.62,0.16,6/8/2020,6/8/2020 13:36,1,25,16.88,7.5,7.6,2,24.44,17.02,7.7,7.55,4,24.14,17.13,10,7.34,23.25,26.83,25.87,0.08,0.08,13.42,12.8,9.3,0.52,0.25,0.4,1.06,0.87,1.41,4.73,4.74,5.32,24
6/10/2020,23.38,30.86,0.5,27.9,15.1,18.6,6.64,1.75,27.32,15.35,33.9,5.33,23.13,19.16,0.49,0.43,0.08,0.08,5.5,5.15,0.52,0.49,6/10/2020,6/10/2020 14:32,0.75,26.49,16.61,15.4,6.81,2.5,25.64,16.78,11.2,6.61,5.75,25.12,17.12,18.8,6.98,NaN,NaN,22.37,0.08,0.08,13.35,7.73,8.59,0.3,0.29,0.23,0.68,0.88,1.04,5.3,5.92,5.44,21.9
6/12/2020,44.11,38.58,0.5,26.24,15.31,23,5.78,1.5,NaN,NaN,NaN,NaN,12.99,12.63,1.12,0.89,0.12,0.08,5.07,1.39,4.68,0.88,6/12/2020,6/12/2020 12:25,0.5,24.47,18.09,10.2,6.1,2,24.3,18.3,10.5,6.08,4,24.1,18.54,14.1,6.15,NaN,36.42,37.21,0.21,0.14,4.96,5.23,5,0.92,0.85,0.84,NaN,NaN,3.26,NaN,5.49,4.57,26.9
6/15/2020,32.54,21.79,0.75,23.49,15.9,16.4,6.56,1.75,23.44,16.12,22.6,6.43,26.07,22.4,0.66,0.62,0.08,0.08,1.64,2.73,0.28,0.2,6/15/2020,6/15/2020 12:18,0.5,22.64,18.88,5.8,6.6,3,22.65,19.34,14.8,6.32,5.25,22.47,20.12,22.1,5.67,NaN,29.05,31.63,0.15,0.1,10.91,6.21,5.35,0.67,0.59,0.63,2.34,2.3,2.28,2.39,2.9,4.99,23.7
6/17/2020,40.45,45.79,0.25,21.98,13.62,10.4,7.27,1,20.88,15.76,25.3,6.8,22.6,11.83,1.89,1.36,0.08,0.08,10.27,13.22,5.73,2.41,6/17/2020,6/17/2020 12:16,1,21.21,18.15,10.4,7.1,2.5,21.1,18.44,11.5,7.02,4,20.64,20.72,14,6.71,NaN,NaN,31.69,0.08,0.08,6.93,3.78,3.73,0.98,1.5,1.31,NaN,NaN,2.91,12.81,11.44,11.59,16.4
6/19/2020,NaN,24.82,0.25,26.36,14.51,13.6,12.98,1.25,NaN,NaN,NaN,NaN,47.4,39.33,0.47,0.44,0.08,0.18,11.79,11.89,0.14,0.23,6/19/2020,6/19/2020 12:23,1,23.77,17.85,10.9,9.01,3,22.82,18.35,16.4,7.85,4.75,22.43,18.6,26,7.09,29.22,25.76,41.48,0.11,0.12,25.5,7.52,5.55,0.81,0.63,0.73,0.57,3.19,3.58,10.47,13.42,14.34,27.7
6/22/2020,23.17,31.6,0.5,28.52,15.38,11.2,10.54,1.25,28.43,15.48,13.3,10.32,49.4,50.47,1.09,1,0.09,0.08,NaN,NaN,2.67,0.52,6/22/2020,6/22/2020 13:14,1,25.53,17.11,7.6,7.91,3,24.45,17.24,13.6,7.25,5,24.36,17.24,16.7,6.75,NaN,29.77,29.88,0.21,0.19,16.57,12.51,11.07,0.76,0.86,0.77,NaN,NaN,3.55,NaN,NaN,0.01,20.1
