,Date_Time_NYCC,D2_N+N_NY,D3_N+N_NY,D2_NH4_NY,D3_NH4_NY,Date,WaterFlux_extract_0day,tide_0day,WS_extract_0day,WD_extract_0day
0,2020-06-01 13:40:00,4.18,2.5,5.86,6.05,2020-06-01,-682.711677171344,83.06,176,2470
1,2020-06-03 13:25:00,0.52,0.38,5.27,5.54,2020-06-03,1097.786816604703,60.05,258,5600
2,2020-06-05 13:47:00,1.06,1.08,5.05,4.77,2020-06-05,1874.6900499921635,57.92,224,4850
3,2020-06-08 13:36:00,0.87,1.41,4.74,5.32,2020-06-08,490.3943291469145,57.160000000000004,101,4060
4,2020-06-10 14:32:00,0.88,1.04,5.92,5.44,2020-06-10,-1378.401068339962,56.06,274,4850
5,2020-06-12 12:25:00,,3.26,5.49,4.57,2020-06-12,-616.4325676213326,74.44,156,2360
6,2020-06-15 12:18:00,2.3,2.28,2.9,4.99,2020-06-15,2657.8523317294694,115.96000000000001,386,1380
7,2020-06-17 12:16:00,,2.91,11.44,11.59,2020-06-17,-2088.5930814640915,113.34,307,2100
8,2020-06-19 12:23:00,3.19,3.58,13.42,14.34,2020-06-19,578.4589733629771,78.13,128,3840
9,2020-06-22 13:14:00,,3.55,,0.01,2020-06-22,424.9109259268753,76.37,133,3180
10,2020-06-24 14:09:00,2.62,3.46,0.01,0.01,2020-06-24,244.42665908429052,75.09,178,3690
11,2020-06-26 13:21:00,,3.69,1.33,1.64,2020-06-26,-2542.4937896402703,82.36,145,5770
12,2020-06-29 13:36:00,1.44,1.71,1.07,1.02,2020-06-29,-145.90924047281777,88.13,162,3250
13,2020-07-01 13:30:00,,,0.56,0.48,2020-07-01,488.12885935526015,85.8,178,2780
14,2020-07-03 14:32:00,0.54,1.29,8.87,13.41,2020-07-03,1790.14369936217,74.6,120,5780
15,2020-07-06 13:32:00,,,9.34,10.42,2020-07-06,-181.56573123007203,78.82,137,5010
16,2020-07-08 13:49:00,0.36,0.61,9.1,10.12,2020-07-08,-125.66343672325931,87.97,204,2030
17,2020-07-10 13:05:00,,,6.17,5.91,2020-07-10,-3362.7666088033316,99.07000000000001,242,6230
18,2020-07-13 13:48:00,0.26,0.39,9.23,10.57,2020-07-13,-737.9634351202578,79.34,168,4880
19,2020-07-15 13:42:00,,,8.84,9.59,2020-07-15,806.2022360863995,86.66,145,1480
20,2020-07-17 13:55:00,0.57,0.67,11.95,15.44,2020-07-17,-424.3067659861674,91.97,168,4630
21,2020-07-20 13:32:00,,,13.32,14.44,2020-07-20,1561.9655707567538,75.51,175,5150
22,2020-07-22 13:23:00,0.3,0.42,13.2,13.57,2020-07-22,1022.0725269428576,76.72,175,4240
23,2020-07-24 13:23:00,,,,,2020-07-24,-373.04710779516034,76.26,172,5310
24,2020-07-26 13:44:00,,,,,2020-07-26,-3375.5083289540385,78.14,172,5370
25,2020-07-28 13:13:00,,0.25,,,2020-07-28,-140.66558035866115,66.7,193,5900
26,2020-07-30 13:35:00,,,,,2020-07-30,749.5823161648418,70.08,157,4180
27,2020-08-01 13:45:00,0.14,0.51,8.76,13.14,2020-08-01,1436.7690865210004,79.9,188,2480
28,2020-08-04 13:15:00,,,10.83,10.95,2020-08-04,-536.879921275124,58.47,189,4330
29,2020-08-06 13:30:00,0.28,0.53,,1.34,2020-08-06,1036.2632318277674,77.78,186,3390
30,2020-08-08 13:43:00,0.22,0.37,0.95,2.38,2020-08-08,-792.2135169502233,87.88,121,2880
31,2020-08-10 13:24:00,0.35,0.34,0.67,0.97,2020-08-10,-1797.3390934054087,76.8,111,2650
32,2020-08-12 13:16:00,0.79,1.02,,,2020-08-12,235.5007441398567,71.96000000000001,80,1960
33,2020-08-14 13:31:00,0.14,0.35,6.24,7.66,2020-08-14,1140.0785040505712,82.36,152,1960
34,2020-08-16 13:08:00,0.14,0.14,5.33,6.43,2020-08-16,1636.0347919605483,109.45,255,3160
35,2020-08-18 13:27:00,0.14,0.14,0.91,3.01,2020-08-18,838.5388420717644,90.56,115,2820
36,2020-08-20 13:27:00,0.23,0.37,1.41,2.43,2020-08-20,932.9331959280264,91.55,215,1890
37,2020-08-22 13:35:00,1.45,1.12,5.51,5.51,2020-08-22,-1359.8204811620392,79.93,73,2160
38,2020-08-24 13:36:00,3.82,4.5,3.53,3.94,2020-08-24,-2896.814572032239,71.98,208,5390
39,2020-08-26 13:37:00,4.53,5.79,1.37,1.14,2020-08-26,242.56248515950602,80.66,189,6770
40,2020-08-28 13:49:00,2.62,6.87,1.61,5.95,2020-08-28,9.474510125372376,69.7,170,5710
41,2020-08-31 14:10:00,1.45,8.75,0.89,6.6,2020-08-31,2712.790075378134,78.22,179,2430
42,2020-09-02 13:12:00,1.74,5.84,0.58,6.18,2020-09-02,-467.37680343616125,87.77,122,4080
43,2020-09-04 13:28:00,1.7,2.31,0.78,1.29,2020-09-04,1296.034463192276,79.29,156,5180
44,2020-09-07 13:24:00,5.03,5.82,0.83,2.05,2020-09-07,-1020.21564083373,85.86,157,1080
45,2020-09-09 13:24:00,4.74,5.22,1.56,2.67,2020-09-09,-1274.0872370451814,99.59,251,1940
46,2020-09-14 13:15:00,3.91,5.82,4.52,10.44,2020-09-14,1776.919501878515,99.18,276,3650
47,2020-09-16 13:01:00,3.85,4.26,5.43,5.67,2020-09-16,545.5270580615502,99.06,125,1560
48,2020-09-18 13:08:00,6.14,6.46,7.26,7.98,2020-09-18,3262.268831872817,109.71,444,990
49,2020-09-23 13:10:00,10.39,10.92,2.77,3.13,2020-09-23,-1313.7789199596964,103.39,121,5770
50,2020-09-30 13:22:00,7.09,7.41,1.27,2.33,2020-09-30,-57.163822997947705,77.53,226,5500
51,2020-10-07 13:00:00,10.25,10.95,,,2020-10-07,-2571.3377637074154,67.02,234,5470
